,wilcox_stat,wilcox_pval,cohens_d,adjusted_pval,metadata_r_id,reaction_name,formula,associated_genes,subsystem,EC_number,confidence
FAEL205_pos,730.0,0.34626647762922835,0.06791198862609657,0.4691792310402254,FAEL205,fatty-acyl-CoA elongation (n-C20:5CoA),"1.00 * O2 [c] + 5.00 * proton [c] + 4.00 * Nicotinamide adenine dinucleotide phosphate - reduced [c] + 1.00 * Malonyl-CoA [c] + 1.00 * timnodonyl coenzyme A [c] --> 3.00 * Water [c] + 4.00 * Nicotinamide adenine dinucleotide phosphate [c] + 1.00 * carbon dioxide [c] + 1.00 * Coenzyme A [c] + 1.00 * clupanodonyl CoA [c]
ELOVL2; ELOVL4; ELOVL5; ELOVL6",ELOVL2; ELOVL4; ELOVL5; ELOVL6,Fatty acid synthesis,2.3.1.86,4.0
FALDH_neg,598.0,0.592106301745599,-0.3600024380752981,0.6724738758963311,FALDH,formaldehyde dehydrogenase,"1.00 * Nicotinamide adenine dinucleotide [c] + 1.00 * formaldehyde [c] + 1.00 * Reduced glutathione [c] --> 1.00 * proton [c] + 1.00 * Nicotinamide adenine dinucleotide - reduced [c] + 1.00 * S-formylglutathionate(1-) [c]
ADH5",ADH5,Tyrosine metabolism,1.2.1.1,4.0
FALDH_pos,598.0,0.592106301745599,-0.3600024380752981,0.6724738758963311,FALDH,formaldehyde dehydrogenase,"1.00 * Nicotinamide adenine dinucleotide [c] + 1.00 * formaldehyde [c] + 1.00 * Reduced glutathione [c] --> 1.00 * proton [c] + 1.00 * Nicotinamide adenine dinucleotide - reduced [c] + 1.00 * S-formylglutathionate(1-) [c]
ADH5",ADH5,Tyrosine metabolism,1.2.1.1,4.0
FAOXC140_pos,758.0,0.20850473286383864,0.13262413761878508,0.34081501482370824,FAOXC140,Beta oxidation of long chain fatty acid,"6.00 * Water [m] + 6.00 * Coenzyme A [m] + 6.00 * Nicotinamide adenine dinucleotide [m] + 6.00 * Flavin adenine dinucleotide oxidized [m] + 1.00 * Tetradecanoyl-CoA (n-C14:0CoA) [m] --> 6.00 * proton [m] + 6.00 * Nicotinamide adenine dinucleotide - reduced [m] + 7.00 * Acetyl-CoA [m] + 6.00 * Flavin adenine dinucleotide reduced [m]
ACADM; ACADS",ACADM; ACADS,Fatty acid oxidation,1.3.99.3,4.0
FAOXC150m_pos,874.0,0.010283908022929474,0.40692120290353573,0.06286748262847905,FAOXC150m,Beta oxidation of long chain fatty acid (odd chain),"6.00 * Water [m] + 6.00 * Coenzyme A [m] + 6.00 * Nicotinamide adenine dinucleotide [m] + 6.00 * Flavin adenine dinucleotide oxidized [m] + 1.00 * pentadecanoyl Coenzyme A [m] --> 6.00 * proton [m] + 6.00 * Nicotinamide adenine dinucleotide - reduced [m] + 6.00 * Acetyl-CoA [m] + 1.00 * Propanoyl-CoA [m] + 6.00 * Flavin adenine dinucleotide reduced [m]
ACADM; ACADS",ACADM; ACADS,Fatty acid oxidation,1.3.99.3,4.0
FAOXC16080m_pos,796.0,0.09173482523806978,0.1513279259319104,0.21595356013356842,FAOXC16080m,Beta oxidation of long chain fatty acid,"4.00 * Water [m] + 4.00 * Coenzyme A [m] + 4.00 * Nicotinamide adenine dinucleotide [m] + 4.00 * Flavin adenine dinucleotide oxidized [m] + 1.00 * Palmitoyl-CoA (n-C16:0CoA) [m] --> 4.00 * proton [m] + 4.00 * Nicotinamide adenine dinucleotide - reduced [m] + 4.00 * Acetyl-CoA [m] + 4.00 * Flavin adenine dinucleotide reduced [m] + 1.00 * Octanoyl-CoA (n-C8:0CoA) [m]
ACADM; ACADS",ACADM; ACADS,Fatty acid oxidation,4.2.1.74,4.0
FAOXC16080x_pos,737.0,0.3073426840586344,0.12927698782331226,0.4299902462691449,FAOXC16080x,Beta oxidation of long chain fatty acid,"4.00 * Nicotinamide adenine dinucleotide [x] + 4.00 * Coenzyme A [x] + 1.00 * Palmitoyl-CoA (n-C16:0CoA) [x] + 4.00 * O2 [x] + 4.00 * Water [x] --> 4.00 * proton [x] + 4.00 * Nicotinamide adenine dinucleotide - reduced [x] + 4.00 * Acetyl-CoA [x] + 1.00 * Octanoyl-CoA (n-C8:0CoA) [x] + 4.00 * Hydrogen peroxide [x]
ACAA1B; ACOX1; EHHADH; HSD17B4",ACAA1B; ACOX1; EHHADH; HSD17B4,Fatty acid oxidation,4.2.1.74,4.0
FAOXC160_pos,760.0,0.20045824904981469,0.12151119638479282,0.33367158877751885,FAOXC160,Beta oxidation of long chain fatty acid,"7.00 * Water [m] + 7.00 * Coenzyme A [m] + 7.00 * Nicotinamide adenine dinucleotide [m] + 7.00 * Flavin adenine dinucleotide oxidized [m] + 1.00 * Palmitoyl-CoA (n-C16:0CoA) [m] --> 7.00 * proton [m] + 7.00 * Nicotinamide adenine dinucleotide - reduced [m] + 8.00 * Acetyl-CoA [m] + 7.00 * Flavin adenine dinucleotide reduced [m]
ACADM; ACADS",ACADM; ACADS,Fatty acid oxidation,1.3.99.3,4.0
FAOXC161802m_pos,811.0,0.06352310391671755,0.1757615071398407,0.17778307670053498,FAOXC161802m,Beta oxidation  fatty acid,"4.00 * Water [m] + 4.00 * Coenzyme A [m] + 4.00 * Nicotinamide adenine dinucleotide [m] + 3.00 * Flavin adenine dinucleotide oxidized [m] + 1.00 * trans-Hexadec-2-enoyl-CoA [m] --> 4.00 * proton [m] + 4.00 * Nicotinamide adenine dinucleotide - reduced [m] + 4.00 * Acetyl-CoA [m] + 3.00 * Flavin adenine dinucleotide reduced [m] + 1.00 * Octanoyl-CoA (n-C8:0CoA) [m]
ACADM; ACADS",ACADM; ACADS,Fatty acid oxidation,4.2.1.74,4.0
FAOXC16180m_pos,826.0,0.042897361367505306,0.22858784080211142,0.1491933243941709,FAOXC16180m,Beta oxidation  fatty acid,"4.00 * Water [m] + 4.00 * Coenzyme A [m] + 4.00 * Nicotinamide adenine dinucleotide [m] + 3.00 * Flavin adenine dinucleotide oxidized [m] + 1.00 * Hexadecenoyl-CoA (n-C16:1CoA) [m] --> 4.00 * proton [m] + 4.00 * Nicotinamide adenine dinucleotide - reduced [m] + 4.00 * Acetyl-CoA [m] + 3.00 * Flavin adenine dinucleotide reduced [m] + 1.00 * Octanoyl-CoA (n-C8:0CoA) [m]
ACADM; ACADS",ACADM; ACADS,Fatty acid oxidation,4.2.1.74,4.0
FAOXC170m_pos,857.0,0.01757849829506413,0.3675540325983628,0.08471643536743664,FAOXC170m,Beta oxidation of long chain fatty acid (odd chain),"7.00 * Water [m] + 7.00 * Coenzyme A [m] + 7.00 * Nicotinamide adenine dinucleotide [m] + 7.00 * Flavin adenine dinucleotide oxidized [m] + 1.00 * heptadecanoyl coa [m] --> 7.00 * proton [m] + 7.00 * Nicotinamide adenine dinucleotide - reduced [m] + 7.00 * Acetyl-CoA [m] + 1.00 * Propanoyl-CoA [m] + 7.00 * Flavin adenine dinucleotide reduced [m]
ACADM",ACADM,Fatty acid oxidation,1.3.99.3,4.0
FAOXC180_pos,711.0,0.46689442586017915,0.06740496793331233,0.564297220824167,FAOXC180,Beta oxidation of long chain fatty acid,"1.00 * Water [m] + 1.00 * Coenzyme A [m] + 1.00 * Nicotinamide adenine dinucleotide [m] + 1.00 * Flavin adenine dinucleotide oxidized [m] + 1.00 * Stearoyl-CoA (n-C18:0CoA) [m] --> 1.00 * proton [m] + 1.00 * Nicotinamide adenine dinucleotide - reduced [m] + 1.00 * Acetyl-CoA [m] + 1.00 * Flavin adenine dinucleotide reduced [m] + 1.00 * Palmitoyl-CoA (n-C16:0CoA) [m]
ACADM; ACADS",ACADM; ACADS,Fatty acid oxidation,1.3.99.3,4.0
FAOXC180x_pos,717.0,0.42648579645928475,0.13611839813376952,0.5293608128891597,FAOXC180x,Beta oxidation of long chain fatty acid,"1.00 * Nicotinamide adenine dinucleotide [x] + 1.00 * Coenzyme A [x] + 1.00 * O2 [x] + 1.00 * Water [x] + 1.00 * Stearoyl-CoA (n-C18:0CoA) [x] --> 1.00 * proton [x] + 1.00 * Nicotinamide adenine dinucleotide - reduced [x] + 1.00 * Acetyl-CoA [x] + 1.00 * Palmitoyl-CoA (n-C16:0CoA) [x] + 1.00 * Hydrogen peroxide [x]
ACAA1B; ACOX1; EHHADH; HSD17B4",ACAA1B; ACOX1; EHHADH; HSD17B4,Fatty acid oxidation,2.3.1.16,4.0
FAOXC1811601m_pos,752.0,0.23404269335962813,0.10497568847763145,0.36389935786466093,FAOXC1811601m,Beta oxidation  fatty acid,"5.00 * Water [m] + 5.00 * Coenzyme A [m] + 5.00 * Nicotinamide adenine dinucleotide [m] + 4.00 * Flavin adenine dinucleotide oxidized [m] + 1.00 * trans-Octadec-2-enoyl-CoA [m] --> 5.00 * proton [m] + 5.00 * Nicotinamide adenine dinucleotide - reduced [m] + 5.00 * Acetyl-CoA [m] + 4.00 * Flavin adenine dinucleotide reduced [m] + 1.00 * Octanoyl-CoA (n-C8:0CoA) [m]
ACADM; ACADS",ACADM; ACADS,Fatty acid oxidation,4.2.1.74,4.0
FAOXC1811602m_pos,756.0,0.2167827768255226,0.12566015077196802,0.34910681285233863,FAOXC1811602m,Beta oxidation  fatty acid,"5.00 * Water [m] + 5.00 * Coenzyme A [m] + 5.00 * Nicotinamide adenine dinucleotide [m] + 4.00 * Flavin adenine dinucleotide oxidized [m] + 1.00 * vaccenyl coenzyme A [m] --> 5.00 * proton [m] + 5.00 * Nicotinamide adenine dinucleotide - reduced [m] + 5.00 * Acetyl-CoA [m] + 4.00 * Flavin adenine dinucleotide reduced [m] + 1.00 * Octanoyl-CoA (n-C8:0CoA) [m]
ACADM; ACADS",ACADM; ACADS,Fatty acid oxidation,4.2.1.74,4.0
FAOXC1811603m_pos,756.0,0.2167827768255226,0.05845760690373084,0.34910681285233863,FAOXC1811603m,Beta oxidation  fatty acid,"5.00 * Water [m] + 5.00 * Coenzyme A [m] + 5.00 * Nicotinamide adenine dinucleotide [m] + 4.00 * Flavin adenine dinucleotide oxidized [m] + 1.00 * Octadecenoyl-CoA (n-C18:1CoA) [m] --> 5.00 * proton [m] + 5.00 * Nicotinamide adenine dinucleotide - reduced [m] + 5.00 * Acetyl-CoA [m] + 4.00 * Flavin adenine dinucleotide reduced [m] + 1.00 * Octanoyl-CoA (n-C8:0CoA) [m]
ACADM; ACADS",ACADM; ACADS,Fatty acid oxidation,4.2.1.74,4.0
FAOXC182806m_pos,794.0,0.09616095376033945,0.18911912693895866,0.2229201251592119,FAOXC182806m,Beta oxidation of fatty acid,"5.00 * Water [m] + 5.00 * Coenzyme A [m] + 5.00 * Nicotinamide adenine dinucleotide [m] + 3.00 * Flavin adenine dinucleotide oxidized [m] + 1.00 * linoleic coenzyme A [m] --> 5.00 * proton [m] + 5.00 * Nicotinamide adenine dinucleotide - reduced [m] + 5.00 * Acetyl-CoA [m] + 3.00 * Flavin adenine dinucleotide reduced [m] + 1.00 * Octanoyl-CoA (n-C8:0CoA) [m]
ACADM; ACADS",ACADM; ACADS,Fatty acid oxidation,4.2.1.74,4.0
FAOXC18280m_pos,781.0,0.12923613663721678,0.16012268653325581,0.25890807876278715,FAOXC18280m,Beta oxidation of fatty acid,"5.00 * Water [m] + 5.00 * Coenzyme A [m] + 5.00 * Nicotinamide adenine dinucleotide [m] + 3.00 * Flavin adenine dinucleotide oxidized [m] + 1.00 * linoelaidyl coenzyme A [m] --> 5.00 * proton [m] + 5.00 * Nicotinamide adenine dinucleotide - reduced [m] + 5.00 * Acetyl-CoA [m] + 3.00 * Flavin adenine dinucleotide reduced [m] + 1.00 * Octanoyl-CoA (n-C8:0CoA) [m]
ACADM; ACADS",ACADM; ACADS,Fatty acid oxidation,4.2.1.74,4.0
FAOXC183803m_pos,808.0,0.06850459077474333,0.2055714482807043,0.18407791970104753,FAOXC183803m,Beta oxidation of fatty acid,"5.00 * Water [m] + 5.00 * Coenzyme A [m] + 5.00 * Nicotinamide adenine dinucleotide [m] + 2.00 * Flavin adenine dinucleotide oxidized [m] + 1.00 * alpha-Linolenoyl-CoA [m] --> 5.00 * proton [m] + 5.00 * Nicotinamide adenine dinucleotide - reduced [m] + 5.00 * Acetyl-CoA [m] + 2.00 * Flavin adenine dinucleotide reduced [m] + 1.00 * Octanoyl-CoA (n-C8:0CoA) [m]
ACADM; ACADS",ACADM; ACADS,Fatty acid oxidation,4.2.1.74,4.0
FAOXC183806m_pos,815.0,0.05735034325439514,0.25215623389001934,0.17431836891510336,FAOXC183806m,Beta oxidation of fatty acid,"2.00 * O2 [m] + 5.00 * Water [m] + 5.00 * Coenzyme A [m] + 5.00 * Nicotinamide adenine dinucleotide [m] + 1.00 * gamma-linolenoyl-CoA(4-) [m] --> 5.00 * proton [m] + 5.00 * Nicotinamide adenine dinucleotide - reduced [m] + 5.00 * Acetyl-CoA [m] + 2.00 * Hydrogen peroxide [m] + 1.00 * Octanoyl-CoA (n-C8:0CoA) [m]
ACADM; ACADS",ACADM; ACADS,Fatty acid oxidation,4.2.1.74,4.0
FAOXC183806x_pos,870.0,0.011701679834500302,0.4606165181634492,0.06876841521444198,FAOXC183806x,Beta oxidation of long chain fatty acid,"5.00 * Nicotinamide adenine dinucleotide [x] + 5.00 * Coenzyme A [x] + 2.00 * O2 [x] + 5.00 * Water [x] + 1.00 * gamma-linolenoyl-CoA(4-) [x] --> 5.00 * proton [x] + 5.00 * Nicotinamide adenine dinucleotide - reduced [x] + 5.00 * Acetyl-CoA [x] + 1.00 * Octanoyl-CoA (n-C8:0CoA) [x] + 2.00 * Hydrogen peroxide [x]
ACAA1B; ACOX1; EHHADH; HSD17B4",ACAA1B; ACOX1; EHHADH; HSD17B4,Fatty acid oxidation,4.2.1.74,4.0
FAOXC18480m_pos,813.0,0.06037135393230837,0.23149944209254378,0.17542987461116472,FAOXC18480m,Beta oxidation of fatty acid,"5.00 * Water [m] + 5.00 * Coenzyme A [m] + 5.00 * Nicotinamide adenine dinucleotide [m] + 1.00 * Flavin adenine dinucleotide oxidized [m] + 1.00 * stearidonyl coenzyme A [m] --> 5.00 * proton [m] + 5.00 * Nicotinamide adenine dinucleotide - reduced [m] + 5.00 * Acetyl-CoA [m] + 1.00 * Flavin adenine dinucleotide reduced [m] + 1.00 * Octanoyl-CoA (n-C8:0CoA) [m]
ACADM; ACADS",ACADM; ACADS,Fatty acid oxidation,4.2.1.74,4.0
FAOXC18480x_pos,877.0,0.009323105016798497,0.46053686918751074,0.06136902663596442,FAOXC18480x,Beta oxidation of long chain fatty acid,"5.00 * Nicotinamide adenine dinucleotide [x] + 5.00 * Coenzyme A [x] + 1.00 * O2 [x] + 5.00 * Water [x] + 1.00 * stearidonyl coenzyme A [x] --> 5.00 * proton [x] + 5.00 * Nicotinamide adenine dinucleotide - reduced [x] + 5.00 * Acetyl-CoA [x] + 1.00 * Octanoyl-CoA (n-C8:0CoA) [x] + 1.00 * Hydrogen peroxide [x]
ACAA1B; ACOX1; EHHADH; HSD17B4",ACAA1B; ACOX1; EHHADH; HSD17B4,Fatty acid oxidation,4.2.1.74,4.0
FAOXC200180m_pos,737.0,0.3073426840586344,0.11230034838987409,0.4299902462691449,FAOXC200180m,Beta oxidation of long chain fatty acid,"1.00 * Water [m] + 1.00 * Coenzyme A [m] + 1.00 * Nicotinamide adenine dinucleotide [m] + 1.00 * Flavin adenine dinucleotide oxidized [m] + 1.00 * arachidyl coenzyme A [m] --> 1.00 * proton [m] + 1.00 * Nicotinamide adenine dinucleotide - reduced [m] + 1.00 * Acetyl-CoA [m] + 1.00 * Flavin adenine dinucleotide reduced [m] + 1.00 * Stearoyl-CoA (n-C18:0CoA) [m]
ACADM; ACADS",ACADM; ACADS,Fatty acid oxidation,4.2.1.74,4.0
FAOXC200180x_pos,791.0,0.10311880714112251,0.29191201029397373,0.2293673943727827,FAOXC200180x,Beta oxidation of long chain fatty acid,"1.00 * Nicotinamide adenine dinucleotide [x] + 1.00 * Coenzyme A [x] + 1.00 * O2 [x] + 1.00 * Water [x] + 1.00 * arachidyl coenzyme A [x] --> 1.00 * proton [x] + 1.00 * Nicotinamide adenine dinucleotide - reduced [x] + 1.00 * Acetyl-CoA [x] + 1.00 * Hydrogen peroxide [x] + 1.00 * Stearoyl-CoA (n-C18:0CoA) [x]
ACAA1B; ACOX1; EHHADH; HSD17B4",ACAA1B; ACOX1; EHHADH; HSD17B4,Fatty acid oxidation,4.2.1.74,4.0
FAOXC2031836m_pos,791.0,0.10311880714112251,0.18757843221248977,0.2293673943727827,FAOXC2031836m,Beta oxidation of fatty acid,"1.00 * Water [m] + 1.00 * Coenzyme A [m] + 1.00 * Nicotinamide adenine dinucleotide [m] + 1.00 * Flavin adenine dinucleotide oxidized [m] + 1.00 * dihomo-gamma-linolenyl coenzyme A [m] --> 1.00 * proton [m] + 1.00 * Nicotinamide adenine dinucleotide - reduced [m] + 1.00 * Acetyl-CoA [m] + 1.00 * Flavin adenine dinucleotide reduced [m] + 1.00 * gamma-linolenoyl-CoA(4-) [m]
ACADM; ACADS",ACADM; ACADS,Fatty acid oxidation,4.2.1.74,4.0
FAOXC204184m_pos,794.0,0.09616095376033945,0.18887694189268092,0.2229201251592119,FAOXC204184m,Beta oxidation  fatty acid,"1.00 * Water [m] + 1.00 * Coenzyme A [m] + 1.00 * Nicotinamide adenine dinucleotide [m] + 1.00 * Flavin adenine dinucleotide oxidized [m] + 1.00 * eicosatetranoyl coenzyme A [m] --> 1.00 * proton [m] + 1.00 * Nicotinamide adenine dinucleotide - reduced [m] + 1.00 * Acetyl-CoA [m] + 1.00 * Flavin adenine dinucleotide reduced [m] + 1.00 * stearidonyl coenzyme A [m]
ACADM; ACADS",ACADM; ACADS,Fatty acid oxidation,4.2.1.74,4.0
FAOXC204_pos,784.0,0.12091123843200105,0.29900450974027026,0.2477751468024857,FAOXC204,Beta oxidation of long chain fatty acid,"9.00 * Water [m] + 9.00 * Coenzyme A [m] + 9.00 * Nicotinamide adenine dinucleotide [m] + 5.00 * Flavin adenine dinucleotide oxidized [m] + 1.00 * arachidonoyl-CoA(4-) [m] --> 9.00 * proton [m] + 9.00 * Nicotinamide adenine dinucleotide - reduced [m] + 10.00 * Acetyl-CoA [m] + 5.00 * Flavin adenine dinucleotide reduced [m]
ACADM; ACADS",ACADM; ACADS,Fatty acid oxidation,1.3.99.3,4.0
FAOXC2051843m_pos,798.0,0.08747390750763288,0.20241834414607415,0.21086019386292176,FAOXC2051843m,Beta oxidation of fatty acid,"1.00 * Water [m] + 1.00 * Coenzyme A [m] + 1.00 * Nicotinamide adenine dinucleotide [m] + 1.00 * timnodonyl coenzyme A [m] --> 1.00 * proton [m] + 1.00 * Nicotinamide adenine dinucleotide - reduced [m] + 1.00 * Acetyl-CoA [m] + 1.00 * stearidonyl coenzyme A [m]
ACADM; ACADS",ACADM; ACADS,Fatty acid oxidation,4.2.1.74,4.0
FAOXC2051843x_pos,875.0,0.009954272109276555,0.46192153483720544,0.06136902663596442,FAOXC2051843x,Beta oxidation of long chain fatty acid,"1.00 * Nicotinamide adenine dinucleotide [x] + 1.00 * Coenzyme A [x] + 1.00 * Water [x] + 1.00 * timnodonyl coenzyme A [x] --> 1.00 * proton [x] + 1.00 * Nicotinamide adenine dinucleotide - reduced [x] + 1.00 * Acetyl-CoA [x] + 1.00 * stearidonyl coenzyme A [x]
ACAA1B; ACOX1; EHHADH; HSD17B4",ACAA1B; ACOX1; EHHADH; HSD17B4,Fatty acid oxidation,4.2.1.74,4.0
FAOXC2242046m_pos,816.0,0.055887629288440925,0.27616332319086884,0.1715479837482205,FAOXC2242046m,Beta oxidation of long chain fatty acid,"1.00 * Water [m] + 1.00 * Coenzyme A [m] + 1.00 * Nicotinamide adenine dinucleotide [m] + 1.00 * Flavin adenine dinucleotide oxidized [m] + 1.00 * adrenyl coenzyme A [m] --> 1.00 * proton [m] + 1.00 * Nicotinamide adenine dinucleotide - reduced [m] + 1.00 * Acetyl-CoA [m] + 1.00 * Flavin adenine dinucleotide reduced [m] + 1.00 * arachidonoyl-CoA(4-) [m]
ACADM; ACADS",ACADM; ACADS,Fatty acid oxidation,4.2.1.74,4.0
FAOXC2242046x_pos,750.0,0.2430286930180392,0.21373242299199754,0.370121768555788,FAOXC2242046x,Beta oxidation of long chain fatty acid,"1.00 * Nicotinamide adenine dinucleotide [x] + 1.00 * Coenzyme A [x] + 1.00 * O2 [x] + 1.00 * Water [x] + 1.00 * adrenyl coenzyme A [x] --> 1.00 * proton [x] + 1.00 * Nicotinamide adenine dinucleotide - reduced [x] + 1.00 * Acetyl-CoA [x] + 1.00 * Hydrogen peroxide [x] + 1.00 * arachidonoyl-CoA(4-) [x]
ACAA1B; ACOX1; EHHADH; HSD17B4",ACAA1B; ACOX1; EHHADH; HSD17B4,Fatty acid oxidation,4.2.1.74,4.0
FAOXC2251836m_pos,786.0,0.11559856460678632,0.17251817277736858,0.24321848670487722,FAOXC2251836m,Beta oxidation of fatty acid,"2.00 * Water [m] + 2.00 * Coenzyme A [m] + 2.00 * Nicotinamide adenine dinucleotide [m] + 1.00 * docosa-4,7,10,13,16-pentaenoyl coenzyme A [m] --> 2.00 * proton [m] + 2.00 * Nicotinamide adenine dinucleotide - reduced [m] + 2.00 * Acetyl-CoA [m] + 1.00 * gamma-linolenoyl-CoA(4-) [m]
ACADM; ACADS",ACADM; ACADS,Fatty acid oxidation,4.2.1.74,4.0
FAOXC2251836x_pos,847.0,0.023723249479090852,0.4309683819164668,0.10677096098199637,FAOXC2251836x,Beta oxidation of long chain fatty acid,"2.00 * Nicotinamide adenine dinucleotide [x] + 2.00 * Coenzyme A [x] + 2.00 * Water [x] + 1.00 * docosa-4,7,10,13,16-pentaenoyl coenzyme A [x] --> 2.00 * proton [x] + 2.00 * Nicotinamide adenine dinucleotide - reduced [x] + 2.00 * Acetyl-CoA [x] + 1.00 * gamma-linolenoyl-CoA(4-) [x]
ACAA1B; ACOX1; EHHADH; HSD17B4",ACAA1B; ACOX1; EHHADH; HSD17B4,Fatty acid oxidation,4.2.1.74,4.0
FAOXC2252053m_pos,789.0,0.10797570822407274,0.16623240115095178,0.23241806760352943,FAOXC2252053m,Beta oxidation of long chain fatty acid,"1.00 * O2 [m] + 1.00 * Water [m] + 1.00 * Coenzyme A [m] + 1.00 * Nicotinamide adenine dinucleotide [m] + 1.00 * docosa-4,7,10,13,16-pentaenoyl coenzyme A [m] --> 1.00 * proton [m] + 1.00 * Nicotinamide adenine dinucleotide - reduced [m] + 1.00 * Acetyl-CoA [m] + 1.00 * Hydrogen peroxide [m] + 1.00 * timnodonyl coenzyme A [m]
ACADM; ACADS",ACADM; ACADS,Fatty acid oxidation,4.2.1.74,4.0
FAOXC2252053x_pos,770.0,0.16360642775561074,0.19544196508218684,0.2967438260846284,FAOXC2252053x,Beta oxidation of long chain fatty acid,"1.00 * Nicotinamide adenine dinucleotide [x] + 1.00 * Coenzyme A [x] + 1.00 * O2 [x] + 1.00 * Water [x] + 1.00 * docosa-4,7,10,13,16-pentaenoyl coenzyme A [x] --> 1.00 * proton [x] + 1.00 * Nicotinamide adenine dinucleotide - reduced [x] + 1.00 * Acetyl-CoA [x] + 1.00 * Hydrogen peroxide [x] + 1.00 * timnodonyl coenzyme A [x]
ACAA1B; ACOX1; EHHADH; HSD17B4",ACAA1B; ACOX1; EHHADH; HSD17B4,Fatty acid oxidation,4.2.1.74,4.0
FAOXC226205m_pos,770.0,0.16360642775561074,0.13064791452903013,0.2967438260846284,FAOXC226205m,Beta oxidation of long chain fatty acid,"1.00 * Water [m] + 1.00 * Coenzyme A [m] + 1.00 * Nicotinamide adenine dinucleotide [m] + 1.00 * cervonyl coenzyme A [m] --> 1.00 * proton [m] + 1.00 * Nicotinamide adenine dinucleotide - reduced [m] + 1.00 * Acetyl-CoA [m] + 1.00 * timnodonyl coenzyme A [m]
ACADM; ACADS",ACADM; ACADS,Fatty acid oxidation,4.2.1.74,4.0
FAOXC226205x_pos,731.0,0.3405214216895964,0.06848225969678241,0.462545726614324,FAOXC226205x,Beta oxidation of long chain fatty acid,"1.00 * Nicotinamide adenine dinucleotide [x] + 1.00 * Coenzyme A [x] + 1.00 * Water [x] + 1.00 * cervonyl coenzyme A [x] --> 1.00 * proton [x] + 1.00 * Nicotinamide adenine dinucleotide - reduced [x] + 1.00 * Acetyl-CoA [x] + 1.00 * timnodonyl coenzyme A [x]
ACAA1B; ACOX1; EHHADH; HSD17B4",ACAA1B; ACOX1; EHHADH; HSD17B4,Fatty acid oxidation,4.2.1.74,4.0
FAOXC226_pos,780.0,0.13210792043649136,0.20232361448932953,0.2633695119135055,FAOXC226,Beta oxidation of long chain fatty acid,"10.00 * Water [m] + 10.00 * Coenzyme A [m] + 10.00 * Nicotinamide adenine dinucleotide [m] + 4.00 * Flavin adenine dinucleotide oxidized [m] + 1.00 * cervonyl coenzyme A [m] --> 10.00 * proton [m] + 10.00 * Nicotinamide adenine dinucleotide - reduced [m] + 11.00 * Acetyl-CoA [m] + 4.00 * Flavin adenine dinucleotide reduced [m]
ACADM; ACADS",ACADM; ACADS,Fatty acid oxidation,1.3.99.3,4.0
FAOXC240200x_pos,806.0,0.07200068852019151,0.3093950151822592,0.18671607122200456,FAOXC240200x,Beta oxidation of long chain fatty acid,"2.00 * Nicotinamide adenine dinucleotide [x] + 2.00 * Coenzyme A [x] + 2.00 * O2 [x] + 2.00 * Water [x] + 1.00 * lignocericyl coenzyme A [x] --> 2.00 * proton [x] + 2.00 * Nicotinamide adenine dinucleotide - reduced [x] + 2.00 * Acetyl-CoA [x] + 2.00 * Hydrogen peroxide [x] + 1.00 * arachidyl coenzyme A [x]
ACAA1B; ACOX1; EHHADH; HSD17B4",ACAA1B; ACOX1; EHHADH; HSD17B4,Fatty acid oxidation,4.2.1.74,4.0
FAOXC241181x_pos,820.0,0.050343977311677966,0.3579953215491423,0.16198812985318342,FAOXC241181x,Beta oxidation of long chain fatty acid,"3.00 * Nicotinamide adenine dinucleotide [x] + 3.00 * Coenzyme A [x] + 3.00 * O2 [x] + 3.00 * Water [x] + 1.00 * nervonyl coenzyme A [x] --> 3.00 * proton [x] + 3.00 * Nicotinamide adenine dinucleotide - reduced [x] + 3.00 * Acetyl-CoA [x] + 3.00 * Hydrogen peroxide [x] + 1.00 * Octadecenoyl-CoA (n-C18:1CoA) [x]
ACAA1B; ACOX1; EHHADH; HSD17B4",ACAA1B; ACOX1; EHHADH; HSD17B4,Fatty acid oxidation,4.2.1.74,4.0
FAOXC2442246x_pos,877.0,0.009323105016798497,0.4846976458601674,0.06136902663596442,FAOXC2442246x,Beta oxidation of long chain fatty acid,"1.00 * Nicotinamide adenine dinucleotide [x] + 1.00 * Coenzyme A [x] + 1.00 * O2 [x] + 1.00 * Water [x] + 1.00 * tetracosatetraenoyl coenzyme A [x] --> 1.00 * proton [x] + 1.00 * Nicotinamide adenine dinucleotide - reduced [x] + 1.00 * Acetyl-CoA [x] + 1.00 * Hydrogen peroxide [x] + 1.00 * adrenyl coenzyme A [x]
ACAA1B; ACOX1; EHHADH; HSD17B4",ACAA1B; ACOX1; EHHADH; HSD17B4,Fatty acid oxidation,4.2.1.74,4.0
